Shops,Country,numberofshops,yearofestablish,Type,logo
& Other Stories,Sweden,7,2013,Fashion wear,brandlogo/otherstories.png
Accessorize,United Kingdom,450,1984,Fashion wear,brandlogo/accessorize.png
Adidas,Germany,18,,Sports & Footwear,brandlogo/adidas.png
ALDO,Canada,17,2002,Sports & Footwear,brandlogo/aldo.png
AllSaints,United Kingdom,83,1997,Fashion wear,brandlogo/allsaints.png
Ann Summers,United Kingdom,102,1972,Fashion wear,brandlogo/annsummer.png
Arabian Oud,Saudi Arabia,3,2000,Health & Beauty,brandlogo/arabianoud.png
Asics,Japan ,13,2017,Sports & Footwear,brandlogo/asics.png
Bershka,Spain,5,2004,Fashion wear,brandlogo/bershka.png
Blow LTD,United Kingdom,7,,Other,brandlogo/blow.png
Boots,United Kingdom,2500,,Health & Beauty,brandlogo/boots.png
Boux Avenue,United Kingdom,9,2001,Fashion wear,brandlogo/bouxavenue.png
Burton,United Kingdom,400,2011,Fashion wear,brandlogo/burton.png
Calzedonia,Italy,10,2011,Fashion wear,brandlogo/calzedonia.png
Camper,Spain,9,,Sports & Footwear,brandlogo/camper.png
Carphone Warehouse,United Kingdom,,,Electrical & Mobile services,brandlogo/carphone.png
Carpisa,Italy,1,2007,Other,brandlogo/carpisa.png
Claires Accessories,United States,370,1996,Jewellery & Accessories,brandlogo/claires.png
Clarks,United Kingdom,,1937,Sports & Footwear,brandlogo/clarks.png
Coast,United Kingdom,52,,Fashion wear,brandlogo/coast.png
Crest of London,United Kingdom,,,Other,brandlogo/crestlondon.png
Currys PC World,United Kingdom,368,1888,Electrical & Mobile services,brandlogo/currys.png
Debenhams,United Kingdom,178,1778,Department store,brandlogo/debehams.png
Dorothy Perkins,United Kingdom,,,Fashion wear,brandlogo/dorothy.png
Dr. Martens,United Kingdom,23,1994,Sports & Footwear,brandlogo/drmartens.png
Duck & Dry,United Kingdom,,,Other,brandlogo/duckdry.jpg
Dune,United Kingdom,50,1992,Sports & Footwear,brandlogo/dune.png
Dyson,United Kingdom,,,Electrical & Mobile services,brandlogo/dyson.png
ECCO,Denmark,46,1998,Sports & Footwear,brandlogo/ecco.png
EE,United Kingdom,,,Electrical & Mobile services,brandlogo/ee.png
Ernest Jones,United Kingdom,,,Sports & Footwear,brandlogo/ernest.png
Evans,United Kingdom,180,,Fashion wear,brandlogo/evans.png
Flight Centre,Australia,80,1995,Other,brandlogo/flightcentre.png
Flying Tiger Copenhagen,Denmark,90,2005,Other,brandlogo/flying.png
Folli Follie,Greece,48,1999,Jewellery & Accessories,brandlogo/follie.png
Foot Locker,United States,79,,Sports & Footwear,brandlogo/footlocker.png
Forever 21,United States,7,2010,Fashion wear,brandlogo/forever21.png
FOSSIL,United States,18,2000,Jewellery & Accessories,brandlogo/fossil.png
French Connection,United Kingdom,38,1972,Fashion wear,brandlogo/french.png
Gap,United States,148,1987,Fashion wear,brandlogo/gap.png
Geox,Italy,8,2008,Sports & Footwear,brandlogo/geox.png
Goldsmiths,United Kingdom,,,Jewellery & Accessories,brandlogo/goldsmiths.png
G-Star Raw,Netherlands,10,2013,Fashion wear,brandlogo/gstar.png
H&M,Sweden,240,1976,Fashion wear,brandlogo/hm.png
H. Samuel,United Kingdom,,,Jewellery & Accessories,brandlogo/hsamuel.png
Harmony,United Kingdom,,,Other,brandlogo/harmony.png
Hawes & Curtis,United Kingdom,25,1913,Fashion wear,brandlogo/hawes.png
HMV,United Kingdom,,,Other,brandlogo/hmv.png
Holland & Barrett,United Kingdom,,,Health & Beauty,brandlogo/holland.png
House of Fraser,United Kingdom,60,1849,Department store,brandlogo/hoff.png
Inglot,Poland,13,2008,Health & Beauty,brandlogo/inglot.png
Intimissimi,Italy,6,2015,Fashion wear,brandlogo/intimissimi.png
JD Sports,United Kingdom,800,1981,Sports & Footwear,brandlogo/jd.png
Jessops,United Kingdom,,,Other,brandlogo/jessops.png
Jigsaw,United Kingdom,56,1972,Fashion wear,brandlogo/jigsaw.png
John Lewis & Partners,United Kingdom,42,1864,Department store,brandlogo/johnlewis.png
Jurlique,Australia,1,,Health & Beauty,brandlogo/jurlique.png
Kiko Milano,Italy,35,2013,Health & Beauty,brandlogo/kiko.png
Kingdom of Souvenirs,United Kingdom,,,Other,brandlogo/.png
Kingdom of Sweets,United Kingdom,,,Other,brandlogo/kingdomsweets.png
Links of London,United Kingdom,,,Jewellery & Accessories,brandlogo/linksoflondon.png
Londis,United Kingdom,,,Other,brandlogo/londis.png
Longines,Switzerland,1,2015,Jewellery & Accessories,brandlogo/longines.png
Lush,United Kingdom,,,Health & Beauty,brandlogo/lush.png
Mango,Spain,56,2000,Fashion wear,brandlogo/mango.png
Marks & Spencer,United Kingdom,800,,Other,brandlogo/mands.png
Massimo Dutti,Italy,11,2003,Fashion wear,brandlogo/massimo.png
Matalan,United Kingdom,217,1958,Sports & Footwear,brandlogo/matalan.png
Miss Selfridge,United Kingdom,170,,Fashion wear,brandlogo/missselfridge.png
Moleskine,Italy,7,2014,Other,brandlogo/moleskine.png
Monsoon,United Kingdom,400,1973,Fashion wear,brandlogo/monsoon.png
Moss Bros,United Kingdom,150,,Fashion wear,brandlogo/mossbros.png
Muji,Japan ,12,1991,Other,brandlogo/muji.png
New Balance,United States,14,2015,Sports & Footwear,brandlogo/newbalance.png
New Look,United Kingdom,569,,Fashion wear,brandlogo/newlook.png
Next,United Kingdom,511,,Fashion wear,brandlogo/next.png
Nike,United States,15,1999,Sports & Footwear,brandlogo/nike.png
O2,United Kingdom,,,Electrical & Mobile services,brandlogo/o2.png
Oasis,United Kingdom,300,,Fashion wear,brandlogo/oasis.png
OFFICE,United Kingdom,99,,Sports & Footwear,brandlogo/office.png
Offspring,United Kingdom,6,,Sports & Footwear,brandlogo/offspring.png
OMEGA,Switzerland,,,Jewellery & Accessories,brandlogo/omega.png
OUD Milano,Italy,2,2017,Health & Beauty,brandlogo/oud.png
PANDORA,Denmark,,,Jewellery & Accessories,brandlogo/pandora.png
Primark,Ireland,167,1971,Fashion wear,brandlogo/primark.png
Pull & Bear,Spain,7,2008,Fashion wear,brandlogo/pullbear.png
REISS,United Kingdom,56,,Fashion wear,brandlogo/reiss.png
Reserved,Poland,1,2017,Fashion wear,brandlogo/reserved.png
River Island,United Kingdom,248,,Fashion wear,brandlogo/riverisland.png
Russell & Bromley,United Kingdom,43,,Sports & Footwear,brandlogo/russel.png
Samsung,Korea ,13,2014,Electrical & Mobile services,brandlogo/samsung.png
Schuh,United Kingdom,118,,Sports & Footwear,brandlogo/schuh.png
Selfridges,United Kingdom,4,1909,Department store,brandlogo/selfridges.png
Skechers,United States,46,,Sports & Footwear,brandlogo/skechers.png
Soletrader,United Kingdom,,,Sports & Footwear,brandlogo/soletrader.png
Sports Direct,United Kingdom,470,,Sports & Footwear,brandlogo/sportsdirect.png
Stradivarius,Spain,5,2014,Fashion wear,brandlogo/stradivarius.png
Sunglass Hut,United States,61,2010,Jewellery & Accessories,brandlogo/sunglasshut.png
Superdrug,United Kingdom,,,Health & Beauty,brandlogo/superdrug.png
Swarovski,Austria,,,Jewellery & Accessories,brandlogo/swarovski.png
Swatch,Switzerland,,,Jewellery & Accessories,brandlogo/swatch.png
T.M.Lewin,United Kingdom,75,1898,Fashion wear,brandlogo/tmlewin.png
Tezenis,Italy,1,2007,Fashion wear,brandlogo/tezenis.png
Thames Souvenirs,United Kingdom,,,Other,brandlogo/.png
The Blue Door,United Kingdom,,,Other,brandlogo/.png
The Body Shop,United Kingdom,,,Health & Beauty,brandlogo/thebodyshop.png
The Disney Store,United States,30,1990,Other,brandlogo/thedisney.png
The Fragrance Shop,United Kingdom,,,Health & Beauty,brandlogo/thefragrance.png
The Perfume Shop,United Kingdom,,,Health & Beauty,brandlogo/theperfumeshop.png
Three,United Kingdom,,,Electrical & Mobile services,brandlogo/three.png
Timberland,United States,34,1990,Sports & Footwear,brandlogo/timberland.png
Tissot,Switzerland,1,2014,Jewellery & Accessories,brandlogo/tissot.png
Topman,United Kingdom,,,Fashion wear,brandlogo/topman.png
Topshop,United Kingdom,300,,Fashion wear,brandlogo/topshop.png
Ulanka,Spain,1,2014,Sports & Footwear,brandlogo/ulanka.png
UNIQLO,Japan ,10,2001,Fashion wear,brandlogo/uniqlo.png
United Colors Of Benetton,Italy,3,2018,Fashion wear,brandlogo/unitedcolors.png
Urban Outfitters,United States,28,1998,Fashion wear,brandlogo/urbanoutfitters.png
Virgin Media,United Kingdom,,,Electrical & Mobile services,brandlogo/virginmedia.png
Vision Express,United Kingdom,,,Other,brandlogo/visionexpression.png
Vodafone,United Kingdom,,,Electrical & Mobile services,brandlogo/vodafone.png
Wallis,United Kingdom,400,,Fashion wear,brandlogo/wallis.png
Warehouse,United Kingdom,,,Fashion wear,brandlogo/warehouse.png
Watches of Switzerland,United Kingdom,,,Jewellery & Accessories,brandlogo/watchesswitzerland.png
Whittard of Chelsea,United Kingdom,,,Other,brandlogo/whittard.png
ZARA,Spain,67,1998,Fashion wear,brandlogo/zara.png
